Current P/L,Shares,Buy Price,Current Price,Net Profit,Net Change,
0.000415282392026643,500,12.045,12.045,0,2.500000000000391
0,0,-1,12.03,-7.500000000000284,-4.999999999999893
-0.0008312551953449532,500,12.02,12.02,-7.500000000000284,-9.999999999999787
0,0,-1,12.02,-7.500000000000284,-9.999999999999787
-0.0008319467554076363,500,12.01,12.01,-7.500000000000284,-14.99999999999968
0,0,-1,12.0186,-3.2000000000005357,-10.699999999999932
-0.0002995357196344595,500,12.015,12.015,-3.2000000000005357,-12.49999999999929
0,0,-1,12.015,-3.2000000000005357,-12.49999999999929
0.0,500,12.015,12.015,-3.2000000000005357,-12.49999999999929
0,0,-1,12.015,-3.2000000000005357,-12.49999999999929
0.0,500,12.015,12.015,-3.2000000000005357,-12.49999999999929
0,0,-1,12.01,-5.7000000000009265,-14.99999999999968
0.0007577019150707833,500,12.0191,12.0191,-5.7000000000009265,-10.449999999999626
0,0,-1,12.0191,-5.7000000000009265,-10.449999999999626
0.0,500,12.0191,12.0191,-5.7000000000009265,-10.449999999999626
0,0,-1,12.01,-10.25000000000098,-14.99999999999968
0.0,500,12.01,12.01,-10.25000000000098,-14.99999999999968
0,0,-1,12.0168,-6.850000000000911,-11.59999999999961
0.0,500,12.0168,12.0168,-6.850000000000911,-11.59999999999961
0,0,-1,12.0104,-10.050000000000558,-14.799999999999258
-3.3304469459871786e-05,500,12.01,12.01,-10.050000000000558,-14.99999999999968
0,0,-1,12.01,-10.050000000000558,-14.99999999999968
0.0,500,12.01,12.01,-10.050000000000558,-14.99999999999968
0,0,-1,12.015,-7.550000000000168,-12.49999999999929
0.0,500,12.015,12.015,-7.550000000000168,-12.49999999999929
0.0,500,12.015,12.015,-7.550000000000168,-12.49999999999929
0,0,-1,12.015,-7.550000000000168,-12.49999999999929
0.0,500,12.015,12.015,-7.550000000000168,-12.49999999999929
0,0,-1,12.015,-7.550000000000168,-12.49999999999929
0.0,500,12.015,12.015,-7.550000000000168,-12.49999999999929
0,0,-1,12.01,-10.050000000000558,-14.99999999999968
0.0004163197335554356,500,12.015,12.015,-10.050000000000558,-12.49999999999929
0,0,-1,12.02,-7.550000000001056,-9.999999999999787
-0.0008319467554076363,500,12.01,12.01,-7.550000000001056,-14.99999999999968
0,0,-1,12.01,-7.550000000001056,-14.99999999999968
-0.003330557868442893,500,11.97,11.97,-7.550000000001056,-34.999999999999254
0,0,-1,12.0,7.449999999998624,-19.999999999999574
0.0,500,12.0,12.0,7.449999999998624,-19.999999999999574
0,0,-1,11.99,2.449999999998731,-24.999999999999467
-0.0008757297748123768,500,11.9795,11.9795,2.449999999998731,-30.249999999999666
0,0,-1,11.9789,2.149999999998542,-30.549999999999855
-0.0007346250490444892,500,11.9701,11.9701,2.149999999998542,-34.94999999999937
0,0,-1,11.9701,2.149999999998542,-34.94999999999937
0.0,500,11.9701,11.9701,2.149999999998542,-34.94999999999937
0.0003884679325987102,1000,11.97475,11.9794,2.149999999998542,-30.29999999999955
0,0,-1,11.975,2.3999999999979593,-32.49999999999975
-0.0012526096033401914,500,11.96,11.96,2.3999999999979593,-39.99999999999915
0,0,-1,11.98,12.399999999997746,-29.99999999999936
0.0008347245409014846,500,11.99,11.99,12.399999999997746,-24.999999999999467
0,0,-1,11.99,12.399999999997746,-24.999999999999467
0.0,500,11.99,11.99,12.399999999997746,-24.999999999999467
0,0,-1,11.975,4.899999999997462,-32.49999999999975
0.0,500,11.975,11.975,4.899999999997462,-32.49999999999975
0,0,-1,11.97,2.3999999999979593,-34.999999999999254
0.0,500,11.97,11.97,2.3999999999979593,-34.999999999999254
0,0,-1,11.9693,2.049999999997887,-35.349999999999326
6.683765967933897e-05,500,11.9701,11.9701,2.049999999997887,-34.94999999999937
0,0,-1,11.9701,2.049999999997887,-34.94999999999937
0.001244768214133468,500,11.985,11.985,2.049999999997887,-27.499999999999858
0,0,-1,11.985,2.049999999997887,-27.499999999999858
0.0004171881518565525,500,11.99,11.99,2.049999999997887,-24.999999999999467
0,0,-1,11.99,2.049999999997887,-24.999999999999467
-0.000834028356964119,500,11.98,11.98,2.049999999997887,-29.99999999999936
0,0,-1,11.9799,1.9999999999980034,-30.049999999999244
-0.0008263841935241546,500,11.97,11.97,1.9999999999980034,-34.999999999999254
0,0,-1,11.985,9.4999999999974,-27.499999999999858
0.0004171881518565525,500,11.99,11.99,9.4999999999974,-24.999999999999467
0,0,-1,11.98,4.499999999997506,-29.99999999999936
-0.0008347245409014846,500,11.97,11.97,4.499999999997506,-34.999999999999254
0,0,-1,11.97,4.499999999997506,-34.999999999999254
0.0007101086048454244,500,11.9785,11.9785,4.499999999997506,-30.74999999999939
0,0,-1,11.9785,4.499999999997506,-30.74999999999939
0.0,500,11.9785,11.9785,4.499999999997506,-30.74999999999939
0,0,-1,11.98,5.249999999997534,-29.99999999999936
0.0,500,11.98,11.98,5.249999999997534,-29.99999999999936
0,0,-1,11.975,2.7499999999971436,-32.49999999999975
0.0008350730688935104,500,11.985,11.985,2.7499999999971436,-27.499999999999858
0,0,-1,11.995,7.749999999997037,-22.499999999999964
0.0,500,11.995,11.995,7.749999999997037,-22.499999999999964
0,0,-1,11.995,7.749999999997037,-22.499999999999964
0.0,500,11.995,11.995,7.749999999997037,-22.499999999999964
0,0,-1,12.005,12.749999999997819,-17.499999999999183
0.0,500,12.005,12.005,12.749999999997819,-17.499999999999183
0,0,-1,12.0,10.249999999997428,-19.999999999999574
-0.0008333333333333156,500,11.99,11.99,10.249999999997428,-24.999999999999467
